maintenance_id,flight_id,equipment,maintenance_date,status,description
1,1,Engine,2023-11-15,Pending,"Scheduled engine check."
2,2,Avionics,2023-11-16,Completed,"Routine avionics system inspection."
3,3,Landing Gear,2023-11-17,Pending,"Landing gear performance check."
4,4,Hydraulics,2023-11-18,Completed,"Hydraulic system maintenance."
5,5,Engine,2023-11-19,Pending,"Engine diagnostic test."
6,6,Avionics,2023-11-20,Completed,"Avionics firmware update."
7,7,Landing Gear,2023-11-21,Pending,"Landing gear alignment check."
8,8,Hydraulics,2023-11-22,Completed,"Hydraulic fluid replacement."
9,9,Engine,2023-11-23,Pending,"Engine oil change."
10,10,Avionics,2023-11-24,Completed,"Avionics sensor calibration."
11,11,Landing Gear,2023-11-25,Pending,"Landing gear wear inspection."
12,12,Hydraulics,2023-11-26,Completed,"Hydraulic pump check."
13,13,Engine,2023-11-27,Pending,"Engine performance analysis."
14,14,Avionics,2023-11-28,Completed,"Avionics system test."
15,15,Landing Gear,2023-11-29,Pending,"Landing gear shock absorber check."
16,16,Hydraulics,2023-11-30,Completed,"Hydraulic system leak inspection."
17,17,Engine,2023-12-01,Pending,"Engine check for optimal performance."
18,18,Avionics,2023-12-02,Completed,"Avionics system update."
19,19,Landing Gear,2023-12-03,Pending,"Landing gear structural integrity test."
20,20,Hydraulics,2023-12-04,Completed,"Hydraulic system pressure test."
21,21,Engine,2023-12-05,Pending,"Engine efficiency evaluation."
22,22,Avionics,2023-12-06,Completed,"Avionics diagnostics."
23,23,Landing Gear,2023-12-07,Pending,"Landing gear friction analysis."
24,24,Hydraulics,2023-12-08,Completed,"Hydraulic component replacement."
25,25,Engine,2023-12-09,Pending,"Engine system check."
26,26,Avionics,2023-12-10,Completed,"Avionics upgrade."
27,27,Landing Gear,2023-12-11,Pending,"Landing gear alignment test."
28,28,Hydraulics,2023-12-12,Completed,"Hydraulic system overhaul."
29,29,Engine,2023-12-13,Pending,"Engine diagnostic routine."
30,30,Avionics,2023-12-14,Completed,"Avionics performance check."
31,31,Landing Gear,2023-12-15,Pending,"Landing gear inspection."
32,32,Hydraulics,2023-12-16,Completed,"Hydraulic maintenance routine."
33,33,Engine,2023-12-17,Pending,"Engine fuel system check."
34,34,Avionics,2023-12-18,Completed,"Avionics sensor update."
35,35,Landing Gear,2023-12-19,Pending,"Landing gear tire pressure check."
36,36,Hydraulics,2023-12-20,Completed,"Hydraulic system diagnostics."
37,37,Engine,2023-12-21,Pending,"Engine component inspection."
38,38,Avionics,2023-12-22,Completed,"Avionics calibration."
39,39,Landing Gear,2023-12-23,Pending,"Landing gear load test."
40,40,Hydraulics,2023-12-24,Completed,"Hydraulic fluid check."
41,41,Engine,2023-12-25,Pending,"Engine temperature analysis."
42,42,Avionics,2023-12-26,Completed,"Avionics system evaluation."
43,43,Landing Gear,2023-12-27,Pending,"Landing gear shock absorber check."
44,44,Hydraulics,2023-12-28,Completed,"Hydraulic pump replacement."
45,45,Engine,2023-12-29,Pending,"Engine oil analysis."
46,46,Avionics,2023-12-30,Completed,"Avionics software update."
47,47,Landing Gear,2023-12-31,Pending,"Landing gear wear check."
48,48,Hydraulics,2024-01-01,Completed,"Hydraulic system overhaul."
49,49,Engine,2024-01-02,Pending,"Engine performance evaluation."
50,50,Avionics,2024-01-03,Completed,"Avionics system test."
